net,length_um
bram.mem\[7\]\[5\],12µm
bram.mem\[14\]\[7\],11.905µm
bram.mem\[9\]\[3\],11.78µm
bram.mem\[15\]\[5\],11.74µm
_195_,11.7µm
_091_,11.625µm
_108_,11.625µm
sync_gwptr_to_rd.q2\[0\],11.55µm
_180_,11.5µm
_046_,11.405µm
_090_,11.285µm
_166_,11.24µm
wdata[4],11.14µm
bram.mem\[2\]\[1\],11.09µm
bram.mem\[8\]\[5\],10.98µm
_097_,10.965µm
_048_,10.925µm
bram.mem\[14\]\[1\],10.925µm
bram.mem\[11\]\[2\],10.86µm
bram.mem\[0\]\[3\],10.78µm
u_wrptr_handler.b_wptr_next\[4\],10.78µm
bram.mem\[3\]\[2\],10.76µm
_028_,10.745µm
bram.mem\[11\]\[7\],10.74µm
bram.mem\[1\]\[6\],10.74µm
_231_,10.64µm
_081_,10.565µm
_083_,10.565µm
_117_,10.565µm
_132_,10.565µm
bram.waddr\[3\],10.45µm
_101_,10.445µm
_140_,10.415µm
_201_,10.34µm
_072_,10.325µm
_200_,10.32µm
_044_,10.285µm
_193_,10.24µm
bram.mem\[15\]\[1\],10.24µm
_086_,10.165µm
bram.mem\[9\]\[2\],10.14µm
u_rptr_handler.g_rptr_next\[1\],10.14µm
bram.mem\[10\]\[6\],10.09µm
bram.mem\[7\]\[4\],10.08µm
bram.mem\[0\]\[1\],10.04µm
bram.mem\[4\]\[1\],10.04µm
bram.mem\[0\]\[2\],10µm
bram.mem\[7\]\[6\],9.96µm
bram.mem\[0\]\[7\],9.94µm
bram.mem\[14\]\[5\],9.865µm
bram.mem\[11\]\[3\],9.84µm
_015_,9.685µm
bram.mem\[10\]\[5\],9.645µm
_220_,9.64µm
_082_,9.605µm
_130_,9.605µm
_084_,9.585µm
wdata[1],9.52µm
wdata[3],9.52µm
bram.mem\[13\]\[5\],9.48µm
bram.mem\[15\]\[7\],9.48µm
bram.mem\[0\]\[0\],9.44µm
bram.mem\[8\]\[4\],9.36µm
_173_,9.32µm
_076_,9.285µm
bram.mem\[7\]\[7\],9.28µm
_218_,9.26µm
_016_,9.245µm
_191_,9.24µm
bram.mem\[3\]\[3\],9.16µm
_134_,9.145µm
_185_,9.02µm
bram.mem\[1\]\[2\],9.02µm
bram.mem\[4\]\[3\],9.02µm
bram.mem\[5\]\[3\],9.02µm
bram.mem\[9\]\[6\],9.02µm
_040_,8.985µm
_065_,8.985µm
_121_,8.905µm
_066_,8.885µm
wdata[2],8.84µm
wdata[5],8.84µm
_114_,8.825µm
_174_,8.72µm
rdata[1],8.72µm
rdata[2],8.72µm
rdata[3],8.72µm
rdata[4],8.72µm
rdata[6],8.72µm
rdata[7],8.72µm
_070_,8.605µm
_190_,8.6µm
r_ptr_gray_sync\[0\],8.6µm
bram.mem\[5\]\[1\],8.56µm
bram.mem\[5\]\[5\],8.56µm
bram.mem\[8\]\[1\],8.56µm
r_ptr_gray_sync\[3\],8.4µm
_069_,8.365µm
sync_grptr_to_wr.q1\[2\],8.36µm
bram.mem\[14\]\[6\],8.33µm
_031_,8.3µm
net11,8.24µm
_010_,8.225µm
bram.mem\[4\]\[5\],8.2µm
bram.mem\[7\]\[0\],8.2µm
_106_,8.155µm
_186_,8.14µm
bram.mem\[3\]\[7\],8.1µm
_112_,8.025µm
net18,8.02µm
_027_,7.985µm
_115_,7.985µm
_184_,7.98µm
_167_,7.94µm
_206_,7.94µm
wdata[0],7.92µm
_032_,7.905µm
bram.mem\[12\]\[0\],7.88µm
bram.mem\[1\]\[7\],7.86µm
sync_gwptr_to_rd.q1\[2\],7.8µm
bram.mem\[6\]\[0\],7.785µm
u_wrptr_handler.b_wptr_next\[1\],7.72µm
_038_,7.705µm
_197_,7.62µm
_049_,7.605µm
_042_,7.565µm
_017_,7.505µm
_089_,7.505µm
bram.mem\[15\]\[4\],7.44µm
bram.mem\[7\]\[2\],7.44µm
_222_,7.42µm
u_wrptr_handler.b_wptr_next\[3\],7.4µm
_221_,7.34µm
_158_,7.24µm
sync_grptr_to_wr.q1\[3\],7.22µm
u_rptr_handler.b_rptr_next\[4\],7.22µm
_177_,7.2µm
_058_,7.145µm
_217_,7.14µm
_188_,7.06µm
ren,6.99µm
bram.mem\[3\]\[1\],6.92µm
_068_,6.885µm
_228_,6.76µm
bram.mem\[15\]\[0\],6.76µm
bram.mem\[9\]\[7\],6.76µm
_187_,6.74µm
_041_,6.705µm
_023_,6.645µm
_050_,6.645µm
net16,6.6µm
_045_,6.525µm
_026_,6.425µm
u_wrptr_handler.g_wptr_next\[1\],6.405µm
_030_,6.365µm
_056_,6.365µm
_088_,6.365µm
u_rptr_handler.g_rptr_next\[0\],6.32µm
_093_,6.305µm
_035_,6.245µm
_012_,6.225µm
_110_,6.185µm
_113_,6.185µm
_142_,6.16µm
_098_,6.105µm
wdata[7],6.09µm
_175_,6.06µm
_214_,5.96µm
u_rptr_handler.b_rptr_next\[3\],5.96µm
sync_gwptr_to_rd.q2\[3\],5.94µm
sync_gwptr_to_rd.d1\[0\],5.92µm
u_wrptr_handler.g_wptr_next\[3\],5.92µm
_100_,5.845µm
bram.mem\[13\]\[6\],5.82µm
_018_,5.765µm
_124_,5.765µm
_213_,5.72µm
bram.mem\[8\]\[6\],5.68µm
wen,5.63µm
_022_,5.545µm
_120_,5.545µm
_165_,5.52µm
_008_,5.505µm
sync_grptr_to_wr.q1\[1\],5.5µm
u_rptr_handler.g_rptr_next\[3\],5.48µm
_061_,5.435µm
_102_,5.435µm
wdata[6],5.41µm
_152_,5.34µm
bram.mem\[0\]\[5\],5.34µm
_051_,5.305µm
full,5.29µm
r_ptr_gray_sync\[4\],5.26µm
_216_,5.22µm
net13,5.22µm
_092_,5.095µm
_133_,5.045µm
u_rptr_handler.b_rptr_next\[2\],5.04µm
_094_,4.975µm
wrst_n,4.95µm
_196_,4.92µm
sync_gwptr_to_rd.q2\[1\],4.88µm
_063_,4.845µm
